year,region,country,happiness_rank,happiness_score,social_support,health_life_expectancy,generosity,freedom_to_make_life_choices,economy_gdp_per_capita,perceptions_of_corruption
2018,Western Europe,Finland,1,7.632,1.592,0.874,0.202,0.681,1.305,0.393
2018,Western Europe,Norway,2,7.594,1.582,0.861,0.286,0.686,1.456,0.34
2018,Western Europe,Denmark,3,7.555,1.59,0.868,0.284,0.683,1.351,0.408
2018,Western Europe,Iceland,4,7.495,1.644,0.914,0.353,0.677,1.343,0.138
2018,Western Europe,Switzerland,5,7.487,1.549,0.927,0.256,0.66,1.42,0.357
2018,Western Europe,Netherlands,6,7.441,1.488,0.878,0.333,0.638,1.361,0.295
2018,North America,Canada,7,7.328,1.532,0.896,0.321,0.653,1.33,0.291
2018,Australia and New Zealand,New Zealand,8,7.324,1.601,0.876,0.365,0.669,1.268,0.389
2018,Western Europe,Sweden,9,7.314,1.501,0.913,0.285,0.659,1.355,0.383
2018,Australia and New Zealand,Australia,10,7.272,1.573,0.91,0.361,0.647,1.34,0.302
2018,Western Europe,United Kingdom,11,7.19,1.433,0.888,0.262,0.464,1.244,0.082
2018,Western Europe,Austria,12,7.139,1.504,0.891,0.242,0.617,1.341,0.224
2018,Latin America and Caribbean,Costa Rica,13,7.072,1.459,0.817,0.143,0.632,1.01,0.101
2018,Western Europe,Ireland,14,6.977,1.583,0.876,0.307,0.614,1.448,0.306
2018,Western Europe,Germany,15,6.965,1.474,0.861,0.273,0.586,1.34,0.28
2018,Western Europe,Belgium,16,6.927,1.483,0.894,0.188,0.583,1.324,0.24
2018,Western Europe,Luxembourg,17,6.91,1.52,0.896,0.196,0.632,1.576,0.321
2018,North America,United States,18,6.886,1.471,0.819,0.291,0.547,1.398,0.133
2018,Middle East and Northern Africa,Israel,19,6.814,1.559,0.883,0.354,0.533,1.301,0.272
2018,Middle East and Northern Africa,United Arab Emirates,20,6.774,0.776,0.67,0.186,0.284,2.096,0.127
2018,Central and Eastern Europe,Czech Republic,21,6.711,1.489,0.854,0.064,0.543,1.233,0.034
2018,Western Europe,Malta,22,6.627,1.525,0.884,0.376,0.645,1.27,0.142
2018,Western Europe,France,23,6.489,1.466,0.908,0.098,0.52,1.293,0.176
2018,Latin America and Caribbean,Mexico,24,6.488,1.252,0.761,0.069,0.479,1.038,0.095
2018,Latin America and Caribbean,Chile,25,6.476,1.331,0.808,0.197,0.431,1.131,0.061
2018,Eastern Asia,Taiwan,26,6.441,1.436,0.857,0.151,0.418,1.365,0.078
2018,Latin America and Caribbean,Panama,27,6.43,1.438,0.759,0.125,0.597,1.112,0.063
2018,Latin America and Caribbean,Brazil,28,6.419,1.474,0.675,0.11,0.493,0.986,0.088
2018,Latin America and Caribbean,Argentina,29,6.388,1.468,0.744,0.062,0.57,1.073,0.054
2018,Latin America and Caribbean,Guatemala,30,6.382,1.268,0.608,0.179,0.604,0.781,0.071
2018,Latin America and Caribbean,Uruguay,31,6.379,1.459,0.771,0.13,0.625,1.093,0.155
2018,Middle East and Northern Africa,Qatar,32,6.374,1.303,0.748,0.256,0.654,1.649,0.171
2018,Middle East and Northern Africa,Saudi Arabia,33,6.371,1.331,0.633,0.098,0.509,1.379,0.127
2018,Southeastern Asia,Singapore,34,6.343,1.451,1.008,0.261,0.631,1.529,0.457
2018,Southeastern Asia,Malaysia,35,6.322,1.258,0.669,0.311,0.356,1.161,0.059
2018,Western Europe,Spain,36,6.31,1.538,0.965,0.142,0.449,1.251,0.074
2018,Latin America and Caribbean,Colombia,37,6.26,1.439,0.635,0.099,0.531,0.96,0.039
2018,Latin America and Caribbean,Trinidad & Tobago,38,6.192,1.492,0.564,0.171,0.575,1.223,0.019
2018,Central and Eastern Europe,Slovakia,39,6.173,1.537,0.776,0.118,0.354,1.21,0.014
2018,Latin America and Caribbean,El Salvador,40,6.167,1.231,0.639,0.065,0.461,0.806,0.082
2018,Latin America and Caribbean,Nicaragua,41,6.141,1.319,0.7,0.208,0.527,0.668,0.128
2018,Central and Eastern Europe,Poland,42,6.123,1.448,0.781,0.108,0.546,1.176,0.064
2018,Middle East and Northern Africa,Bahrain,43,6.105,1.366,0.698,0.243,0.594,1.338,0.123
2018,Southern Asia,Uzbekistan,44,6.096,1.584,0.605,0.328,0.724,0.719,0.259
2018,Middle East and Northern Africa,Kuwait,45,6.083,1.301,0.675,0.167,0.554,1.474,0.106
2018,Southeastern Asia,Thailand,46,6.072,1.417,0.707,0.364,0.637,1.016,0.029
2018,Western Europe,Italy,47,6.0,1.501,0.946,0.137,0.281,1.264,0.028
2018,Latin America and Caribbean,Ecuador,48,5.973,1.33,0.736,0.114,0.556,0.889,0.12
2018,Latin America and Caribbean,Belize,49,5.956,1.101,0.474,0.183,0.593,0.807,0.089
2018,Central and Eastern Europe,Lithuania,50,5.952,1.527,0.716,0.026,0.35,1.197,0.006
2018,Central and Eastern Europe,Slovenia,51,5.948,1.506,0.856,0.16,0.633,1.219,0.051
2018,Central and Eastern Europe,Romania,52,5.945,1.219,0.726,0.088,0.528,1.116,0.001
2018,Central and Eastern Europe,Latvia,53,5.933,1.454,0.671,0.092,0.363,1.148,0.066
2018,Eastern Asia,Japan,54,5.915,1.462,0.988,0.079,0.553,1.294,0.15
2018,Sub-Saharan Africa,Mauritius,55,5.891,1.387,0.684,0.245,0.584,1.09,0.05
2018,Latin America and Caribbean,Jamaica,56,5.89,1.493,0.693,0.096,0.575,0.819,0.031
2018,Eastern Asia,South Korea,57,5.875,1.204,0.955,0.175,0.244,1.266,0.051
2018,Western Europe,Northern Cyprus,58,5.835,1.211,0.909,0.179,0.495,1.229,0.154
2018,Central and Eastern Europe,Russia,59,5.81,1.479,0.599,0.065,0.399,1.151,0.025
2018,Southern Asia,Kazakhstan,60,5.79,1.516,0.631,0.148,0.454,1.143,0.121
2018,Western Europe,Cyprus,61,5.762,1.191,0.909,0.202,0.423,1.229,0.035
2018,Latin America and Caribbean,Bolivia,62,5.752,1.223,0.508,0.141,0.606,0.751,0.054
2018,Central and Eastern Europe,Estonia,63,5.739,1.532,0.737,0.086,0.553,1.2,0.174
2018,Latin America and Caribbean,Paraguay,64,5.681,1.522,0.615,0.162,0.541,0.835,0.074
2018,Latin America and Caribbean,Peru,65,5.663,1.249,0.674,0.092,0.53,0.934,0.034
2018,Central and Eastern Europe,Kosovo,66,5.662,1.23,0.578,0.274,0.448,0.855,0.023
2018,Central and Eastern Europe,Moldova,67,5.64,1.301,0.62,0.171,0.232,0.657,0.0
2018,Southern Asia,Turkmenistan,68,5.636,1.533,0.517,0.199,0.417,1.016,0.037
2018,Central and Eastern Europe,Hungary,69,5.62,1.401,0.732,0.061,0.259,1.171,0.022
2018,Middle East and Northern Africa,Libya,70,5.566,1.35,0.553,0.116,0.496,0.985,0.148
2018,Southeastern Asia,Philippines,71,5.524,1.312,0.513,0.12,0.643,0.775,0.105
2018,Latin America and Caribbean,Honduras,72,5.504,1.205,0.622,0.197,0.459,0.62,0.074
2018,Central and Eastern Europe,Belarus,73,5.483,1.498,0.7,0.101,0.307,1.039,0.154
2018,Middle East and Northern Africa,Turkey,74,5.483,1.38,0.686,0.106,0.324,1.148,0.109
2018,Southern Asia,Pakistan,75,5.472,0.81,0.424,0.216,0.334,0.652,0.113
2018,Eastern Asia,Hong Kong,76,5.43,1.29,1.03,0.246,0.524,1.405,0.291
2018,Western Europe,Portugal,77,5.41,1.429,0.884,0.055,0.562,1.188,0.017
2018,Central and Eastern Europe,Serbia,78,5.398,1.369,0.685,0.134,0.288,0.975,0.043
2018,Western Europe,Greece,79,5.358,1.202,0.879,0.0,0.131,1.154,0.044
2018,Middle East and Northern Africa,Lebanon,80,5.358,1.179,0.785,0.214,0.503,0.965,0.136
2018,Central and Eastern Europe,Montenegro,81,5.347,1.279,0.729,0.111,0.259,1.017,0.081
2018,Central and Eastern Europe,Croatia,82,5.321,1.161,0.737,0.12,0.38,1.115,0.039
2018,Latin America and Caribbean,Dominican Republic,83,5.302,1.441,0.614,0.12,0.578,0.982,0.106
2018,Middle East and Northern Africa,Algeria,84,5.295,1.154,0.687,0.055,0.077,0.979,0.135
2018,Middle East and Northern Africa,Morocco,85,5.254,0.797,0.669,0.026,0.46,0.779,0.074
2018,Eastern Asia,China,86,5.246,1.142,0.799,0.029,0.597,0.989,0.103
2018,Middle East and Northern Africa,Azerbaijan,87,5.201,1.161,0.603,0.031,0.43,1.024,0.176
2018,Southern Asia,Tajikistan,88,5.199,1.166,0.598,0.187,0.292,0.474,0.034
2018,Central and Eastern Europe,Macedonia,89,5.185,1.239,0.691,0.173,0.394,0.959,0.052
2018,Middle East and Northern Africa,Jordan,90,5.161,1.265,0.645,0.13,0.468,0.822,0.134
2018,Sub-Saharan Africa,Nigeria,91,5.155,1.172,0.048,0.201,0.462,0.689,0.032
2018,Southern Asia,Kyrgyzstan,92,5.131,1.416,0.594,0.281,0.54,0.53,0.035
2018,Central and Eastern Europe,Bosnia and Herzegovina,93,5.129,1.078,0.758,0.216,0.28,0.915,0.0
2018,Eastern Asia,Mongolia,94,5.125,1.517,0.575,0.253,0.395,0.914,0.032
2018,Southeastern Asia,Vietnam,95,5.103,1.365,0.702,0.177,0.618,0.715,0.079
2018,Southeastern Asia,Indonesia,96,5.093,1.215,0.522,0.484,0.538,0.899,0.018
2018,Southern Asia,Bhutan,97,5.082,1.335,0.527,0.364,0.541,0.796,0.171
2018,Sub-Saharan Africa,Somalia,98,4.982,0.712,0.115,0.238,0.674,0.0,0.282
2018,Sub-Saharan Africa,Cameroon,99,4.975,0.891,0.182,0.183,0.454,0.535,0.043
2018,Central and Eastern Europe,Bulgaria,100,4.933,1.515,0.712,0.064,0.359,1.054,0.009
