year,region,country,happiness_rank,happiness_score,social_support,health_life_expectancy,generosity,freedom_to_make_life_choices,economy_gdp_per_capita,perceptions_of_corruption
2016,Western Europe,Denmark,1,7.526,1.16374,0.79504,0.36171,0.57941,1.44178,0.44453
2016,Western Europe,Switzerland,2,7.509,1.14524,0.86303,0.28083,0.58557,1.52733,0.41203
2016,Western Europe,Iceland,3,7.501,1.18326,0.86733,0.47678,0.56624,1.42666,0.14975
2016,Western Europe,Norway,4,7.498,1.1269,0.79579,0.37895,0.59609,1.57744,0.35776
2016,Western Europe,Finland,5,7.413,1.13464,0.81091,0.25492,0.57104,1.40598,0.41004
2016,North America,Canada,6,7.404,1.0961,0.8276,0.44834,0.5737,1.44015,0.31329
2016,Western Europe,Netherlands,7,7.339,1.02912,0.81231,0.47416,0.55211,1.46468,0.29927
2016,Australia and New Zealand,New Zealand,8,7.334,1.17278,0.83096,0.49401,0.58147,1.36066,0.41904
2016,Australia and New Zealand,Australia,9,7.313,1.10476,0.8512,0.47407,0.56837,1.44443,0.32331
2016,Western Europe,Sweden,10,7.291,1.08764,0.83121,0.38254,0.58218,1.45181,0.40867
2016,Middle East and Northern Africa,Israel,11,7.267,0.99537,0.84917,0.32288,0.36432,1.33766,0.08728
2016,Western Europe,Austria,12,7.119,1.08383,0.80565,0.32865,0.54355,1.45038,0.21348
2016,North America,United States,13,7.104,1.04782,0.779,0.41077,0.48163,1.50796,0.14868
2016,Latin America and Caribbean,Costa Rica,14,7.087,1.02152,0.76146,0.22553,0.55225,1.06879,0.10547
2016,Latin America and Caribbean,Puerto Rico,15,7.039,1.08113,0.77758,0.22202,0.46823,1.35943,0.12275
2016,Western Europe,Germany,16,6.994,1.09774,0.81487,0.30452,0.53466,1.44787,0.28551
2016,Latin America and Caribbean,Brazil,17,6.952,1.03938,0.61415,0.15776,0.40425,1.08754,0.14166
2016,Western Europe,Belgium,18,6.929,1.05249,0.81959,0.2424,0.51354,1.42539,0.26248
2016,Western Europe,Ireland,19,6.907,1.16157,0.81455,0.44963,0.54008,1.48341,0.29754
